,commit_hash,file_path,filename,action,changes
0,32f9ab01f22e5b786710109c48c018c85397af61,test/e2e/e2e-common/src/test/resources/docker-compose.one.yml,docker-compose.one.yml,4,"{'added': [], 'deleted': [(1, '# Licensed to the Apache Software Foundation (ASF) under one or more'), (2, '# contributor license agreements.  See the NOTICE file distributed with'), (3, '# this work for additional information regarding copyright ownership.'), (4, '# The ASF licenses this file to You under the Apache License, Version 2.0'), (5, '# (the ""License""); you may not use this file except in compliance with'), (6, '# the License.  You may obtain a copy of the License at'), (7, '#'), (8, '#     http://www.apache.org/licenses/LICENSE-2.0'), (9, '#'), (10, '# Unless required by applicable law or agreed to in writing, software'), (11, '# distributed under the License is distributed on an ""AS IS"" BASIS,'), (12, '# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.'), (13, '# See the License for the specific language governing permissions and'), (14, '# limitations under the License.'), (15, ''), (16, ''), (17, ""version: '2.1'""), (18, ''), (19, 'services:'), (20, '  ui:'), (21, '    depends_on:'), (22, '      oap:'), (23, '        condition: service_healthy'), (24, '    environment:'), (25, '      SW_OAP_ADDRESS: http://oap:12800'), (26, '    expose:'), (27, ""      - '8080'""), (28, '    image: skywalking/ui:latest'), (29, '    networks:'), (30, '      - e2e')]}"
1,32f9ab01f22e5b786710109c48c018c85397af61,test/e2e/e2e-common/src/test/resources/docker-compose.two.yml,docker-compose.two.yml,4,"{'added': [], 'deleted': [(1, '# Licensed to the Apache Software Foundation (ASF) under one or more'), (2, '# contributor license agreements.  See the NOTICE file distributed with'), (3, '# this work for additional information regarding copyright ownership.'), (4, '# The ASF licenses this file to You under the Apache License, Version 2.0'), (5, '# (the ""License""); you may not use this file except in compliance with'), (6, '# the License.  You may obtain a copy of the License at'), (7, '#'), (8, '#     http://www.apache.org/licenses/LICENSE-2.0'), (9, '#'), (10, '# Unless required by applicable law or agreed to in writing, software'), (11, '# distributed under the License is distributed on an ""AS IS"" BASIS,'), (12, '# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.'), (13, '# See the License for the specific language governing permissions and'), (14, '# limitations under the License.'), (15, ''), (16, ''), (17, ""version: '2.1'""), (18, ''), (19, 'services:'), (20, '  oap:'), (21, '    image: skywalking/oap:latest'), (22, '    expose:'), (23, '      - 11800'), (24, '      - 12800'), (25, '      - 5005'), (26, '    networks:'), (27, '      - e2e'), (28, '    restart: on-failure'), (29, '    environment:'), (30, '      SW_CLUSTER_ZK_HOST_PORT: zk:2181'), (31, '      SW_STORAGE_ES_CLUSTER_NODES: es:9200'), (32, '      SW_JDBC_URL: jdbc:mysql://mysql:3306/swtest'), (33, '      SW_STORAGE_INFLUXDB_URL: http://influxdb:8086'), (34, '    healthcheck:'), (35, '      test: [""CMD"", ""sh"", ""-c"", ""nc -zn 127.0.0.1 11800""]'), (36, '      interval: 5s'), (37, '      timeout: 60s'), (38, '      retries: 120'), (39, ''), (40, 'networks:'), (41, '  e2e: {}')]}"
2,32f9ab01f22e5b786710109c48c018c85397af61,test/e2e/e2e-data/src/main/resources/browser-error-logs.gql,browser-error-logs.gql,4,"{'added': [], 'deleted': [(1, '# Licensed to the Apache Software Foundation (ASF) under one or more'), (2, '# contributor license agreements.  See the NOTICE file distributed with'), (3, '# this work for additional information regarding copyright ownership.'), (4, '# The ASF licenses this file to You under the Apache License, Version 2.0'), (5, '# (the ""License""); you may not use this file except in compliance with'), (6, '# the License.  You may obtain a copy of the License at'), (7, '#'), (8, '#     http://www.apache.org/licenses/LICENSE-2.0'), (9, '#'), (10, '# Unless required by applicable law or agreed to in writing, software'), (11, '# distributed under the License is distributed on an ""AS IS"" BASIS,'), (12, '# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.'), (13, '# See the License for the specific language governing permissions and'), (14, '# limitations under the License.'), (15, ''), (16, '{'), (17, '    ""query"": ""query queryBrowserLog($condition: BrowserErrorLogQueryCondition) {'), (18, '        logs: queryBrowserErrorLogs(condition: $condition) {'), (19, '            data: logs {'), (20, '                service serviceVersion time pagePath category grade, message, line, col, stack, errorUrl, firstReportedError'), (21, '            }'), (22, '            total'), (23, '        }'), (24, '    }"",'), (25, '    ""variables"": {'), (26, '        ""condition"": {'), (27, '            ""queryDuration"": {'), (28, '                ""start"": ""{start}"",'), (29, '                ""end"": ""{end}"",'), (30, '                ""step"": ""{step}""'), (31, '            },'), (32, '            ""paging"": {'), (33, '                ""pageNum"": {pageNum},'), (34, '                ""pageSize"": {pageSize},'), (35, '                ""needTotal"": {needTotal}'), (36, '            }'), (37, '        }'), (38, '    }'), (39, '}')]}"
3,32f9ab01f22e5b786710109c48c018c85397af61,test/e2e/e2e-data/src/main/resources/browser-services.gql,browser-services.gql,4,"{'added': [], 'deleted': [(1, '# Licensed to the Apache Software Foundation (ASF) under one'), (2, '# or more contributor license agreements.  See the NOTICE file'), (3, '# distributed with this work for additional information'), (4, '# regarding copyright ownership.  The ASF licenses this file'), (5, '# to you under the Apache License, Version 2.0 (the'), (6, '# ""License""); you may not use this file except in compliance'), (7, '# with the License.  You may obtain a copy of the License at'), (8, '#'), (9, '#     http://www.apache.org/licenses/LICENSE-2.0'), (10, '#'), (11, '# Unless required by applicable law or agreed to in writing, software'), (12, '# distributed under the License is distributed on an ""AS IS"" BASIS,'), (13, '# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.'), (14, '# See the License for the specific language governing permissions and'), (15, '# limitations under the License.'), (16, ''), (17, '{'), (18, '    ""query"": ""query queryServices($duration: Duration!) {'), (19, '        services: getAllBrowserServices(duration: $duration) {'), (20, '          key: id'), (21, '          label: name'), (22, '        }'), (23, '    }"",'), (24, '    ""variables"": {'), (25, '        ""duration"": {'), (26, '            ""start"": ""{start}"",'), (27, '            ""end"": ""{end}"",'), (28, '            ""step"": ""{step}""'), (29, '        }'), (30, '    }'), (31, '}')]}"
4,32f9ab01f22e5b786710109c48c018c85397af61,test/e2e/e2e-data/src/main/resources/endpoints.gql,endpoints.gql,4,"{'added': [], 'deleted': [(1, '# Licensed to the Apache Software Foundation (ASF) under one or more'), (2, '# contributor license agreements.  See the NOTICE file distributed with'), (3, '# this work for additional information regarding copyright ownership.'), (4, '# The ASF licenses this file to You under the Apache License, Version 2.0'), (5, '# (the ""License""); you may not use this file except in compliance with'), (6, '# the License.  You may obtain a copy of the License at'), (7, '#'), (8, '#     http://www.apache.org/licenses/LICENSE-2.0'), (9, '#'), (10, '# Unless required by applicable law or agreed to in writing, software'), (11, '# distributed under the License is distributed on an ""AS IS"" BASIS,'), (12, '# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.'), (13, '# See the License for the specific language governing permissions and'), (14, '# limitations under the License.'), (15, ''), (16, '{'), (17, '  ""query"":""query queryEndpoints($serviceId: ID!, $keyword: String!) {'), (18, '    endpoints: searchEndpoint(serviceId: $serviceId, keyword: $keyword, limit: 100) {'), (19, '      key: id'), (20, '      label: name'), (21, '    }'), (22, '  }"",'), (23, '  ""variables"": {'), (24, '    ""serviceId"": ""{serviceId}"",'), (25, '    ""keyword"": """"'), (26, '  }'), (27, '}')]}"
5,32f9ab01f22e5b786710109c48c018c85397af61,test/e2e/e2e-data/src/main/resources/events.gql,events.gql,4,"{'added': [], 'deleted': [(1, '# Licensed to the Apache Software Foundation (ASF) under one or more'), (2, '# contributor license agreements.  See the NOTICE file distributed with'), (3, '# this work for additional information regarding copyright ownership.'), (4, '# The ASF licenses this file to You under the Apache License, Version 2.0'), (5, '# (the ""License""); you may not use this file except in compliance with'), (6, '# the License.  You may obtain a copy of the License at'), (7, '#'), (8, '#     http://www.apache.org/licenses/LICENSE-2.0'), (9, '#'), (10, '# Unless required by applicable law or agreed to in writing, software'), (11, '# distributed under the License is distributed on an ""AS IS"" BASIS,'), (12, '# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.'), (13, '# See the License for the specific language governing permissions and'), (14, '# limitations under the License.'), (15, ''), (16, '{'), (17, '    ""query"": ""query queryEvents($condition: EventQueryCondition) {'), (18, '        events: queryEvents(condition: $condition) {'), (19, '            data: events {'), (20, '                name'), (21, '                source {'), (22, '                    service serviceInstance endpoint'), (23, '                }'), (24, '                startTime'), (25, '                endTime'), (26, '                message'), (27, '                parameters {'), (28, '                    key value'), (29, '                }'), (30, '                uuid'), (31, '            }'), (32, '        }'), (33, '    }"",'), (34, '    ""variables"": {'), (35, '        ""condition"": {'), (36, '            ""uuid"": ""{uuid}"",'), (37, '            ""paging"": {'), (38, '                ""pageNum"": {pageNum},'), (39, '                ""pageSize"": {pageSize},'), (40, '                ""needTotal"": {needTotal}'), (41, '            }'), (42, '        }'), (43, '    }'), (44, '}')]}"
6,32f9ab01f22e5b786710109c48c018c85397af61,test/e2e/e2e-data/src/main/resources/instanceTopo.gql,instanceTopo.gql,4,"{'added': [], 'deleted': [(1, '# Licensed to the Apache Software Foundation (ASF) under one or more'), (2, '# contributor license agreements.  See the NOTICE file distributed with'), (3, '# this work for additional information regarding copyright ownership.'), (4, '# The ASF licenses this file to You under the Apache License, Version 2.0'), (5, '# (the ""License""); you may not use this file except in compliance with'), (6, '# the License.  You may obtain a copy of the License at'), (7, '#'), (8, '#     http://www.apache.org/licenses/LICENSE-2.0'), (9, '#'), (10, '# Unless required by applicable law or agreed to in writing, software'), (11, '# distributed under the License is distributed on an ""AS IS"" BASIS,'), (12, '# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.'), (13, '# See the License for the specific language governing permissions and'), (14, '# limitations under the License.'), (15, ''), (16, '{'), (17, '    ""query"": ""query queryInstanceTopo($clientServiceId: ID!, $serverServiceId: ID!, $duration: Duration!) {'), (18, '        topo: getServiceInstanceTopology(clientServiceId: $clientServiceId, serverServiceId: $serverServiceId, duration: $duration) {'), (19, '            nodes {'), (20, '                id'), (21, '                name'), (22, '                serviceId'), (23, '                serviceName'), (24, '                type'), (25, '                isReal'), (26, '            }'), (27, '            calls {'), (28, '                id'), (29, '                source'), (30, '                detectPoints'), (31, '                target'), (32, '            }'), (33, '        }'), (34, '    }"",'), (35, '    ""variables"": {'), (36, '        ""duration"": {'), (37, '            ""start"": ""{start}"",'), (38, '            ""end"": ""{end}"",'), (39, '            ""step"": ""{step}""'), (40, '        },'), (41, '        ""clientServiceId"": ""{clientServiceId}"",'), (42, '        ""serverServiceId"": ""{serverServiceId}""'), (43, '    }'), (44, '}')]}"
7,32f9ab01f22e5b786710109c48c018c85397af61,test/e2e/e2e-data/src/main/resources/instances.gql,instances.gql,4,"{'added': [], 'deleted': [(1, '# Licensed to the Apache Software Foundation (ASF) under one or more'), (2, '# contributor license agreements.  See the NOTICE file distributed with'), (3, '# this work for additional information regarding copyright ownership.'), (4, '# The ASF licenses this file to You under the Apache License, Version 2.0'), (5, '# (the ""License""); you may not use this file except in compliance with'), (6, '# the License.  You may obtain a copy of the License at'), (7, '#'), (8, '#     http://www.apache.org/licenses/LICENSE-2.0'), (9, '#'), (10, '# Unless required by applicable law or agreed to in writing, software'), (11, '# distributed under the License is distributed on an ""AS IS"" BASIS,'), (12, '# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.'), (13, '# See the License for the specific language governing permissions and'), (14, '# limitations under the License.'), (15, ''), (16, '{'), (17, '  ""query"":""query queryInstances($serviceId: ID!, $duration: Duration!) {'), (18, '    instances: getServiceInstances(duration: $duration, serviceId: $serviceId) {'), (19, '      key: id'), (20, '      label: name'), (21, '      attributes {'), (22, '        name'), (23, '        value'), (24, '      }'), (25, '      instanceUUID'), (26, '    }'), (27, '  }"",'), (28, '  ""variables"": {'), (29, '    ""serviceId"": ""{serviceId}"",'), (30, '    ""duration"": {'), (31, '      ""start"": ""{start}"",'), (32, '      ""end"": ""{end}"",'), (33, '      ""step"": ""{step}""'), (34, '    }'), (35, '  }'), (36, '}')]}"
8,32f9ab01f22e5b786710109c48c018c85397af61,test/e2e/e2e-data/src/main/resources/logs.gql,logs.gql,4,"{'added': [], 'deleted': [(1, '# Licensed to the Apache Software Foundation (ASF) under one or more'), (2, '# contributor license agreements.  See the NOTICE file distributed with'), (3, '# this work for additional information regarding copyright ownership.'), (4, '# The ASF licenses this file to You under the Apache License, Version 2.0'), (5, '# (the ""License""); you may not use this file except in compliance with'), (6, '# the License.  You may obtain a copy of the License at'), (7, '#'), (8, '#     http://www.apache.org/licenses/LICENSE-2.0'), (9, '#'), (10, '# Unless required by applicable law or agreed to in writing, software'), (11, '# distributed under the License is distributed on an ""AS IS"" BASIS,'), (12, '# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.'), (13, '# See the License for the specific language governing permissions and'), (14, '# limitations under the License.'), (15, ''), (16, '{'), (17, '    ""query"": ""query queryLogs($condition: LogQueryCondition) {'), (18, '        logs: queryLogs(condition: $condition) {'), (19, '            data: logs {'), (20, '                serviceName,'), (21, '                serviceId,'), (22, '                serviceInstanceName,'), (23, '                serviceInstanceId,'), (24, '                endpointName,'), (25, '                endpointId,'), (26, '                traceId,'), (27, '                timestamp,'), (28, '                contentType,'), (29, '                content,'), (30, '                tags{'), (31, '                    key, value'), (32, '                }'), (33, '            }'), (34, '        }'), (35, '    }"",'), (36, '    ""variables"": {'), (37, '        ""condition"": {'), (38, '            ""serviceId"": ""{serviceId}"",'), (39, '            ""endpointId"": ""{endpointId}"",'), (40, '            ""queryDuration"": {'), (41, '                ""start"": ""{start}"",'), (42, '                ""end"": ""{end}"",'), (43, '                ""step"": ""{step}""'), (44, '            },'), (45, '            ""keywordsOfContent"": ['), (46, '                {keywordsOfContent}'), (47, '            ],'), (48, '            ""excludingKeywordsOfContent"": ['), (49, '                {excludingKeywordsOfContent}'), (50, '            ],'), (51, '            ""paging"": {'), (52, '                ""pageNum"": {pageNum},'), (53, '                ""pageSize"": {pageSize},'), (54, '                ""needTotal"": {needTotal}'), (55, '            },'), (56, '            ""tags"": {tags}'), (57, '        }'), (58, '    }'), (59, '}')]}"
9,32f9ab01f22e5b786710109c48c018c85397af61,test/e2e/e2e-data/src/main/resources/metrics-multiLines.gql,metrics-multiLines.gql,4,"{'added': [], 'deleted': [(1, '# Licensed to the Apache Software Foundation (ASF) under one or more'), (2, '# contributor license agreements.  See the NOTICE file distributed with'), (3, '# this work for additional information regarding copyright ownership.'), (4, '# The ASF licenses this file to You under the Apache License, Version 2.0'), (5, '# (the ""License""); you may not use this file except in compliance with'), (6, '# the License.  You may obtain a copy of the License at'), (7, '#'), (8, '#     http://www.apache.org/licenses/LICENSE-2.0'), (9, '#'), (10, '# Unless required by applicable law or agreed to in writing, software'), (11, '# distributed under the License is distributed on an ""AS IS"" BASIS,'), (12, '# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.'), (13, '# See the License for the specific language governing permissions and'), (14, '# limitations under the License.'), (15, ''), (16, '{'), (17, '  ""query"":""query ($id: ID!, $duration: Duration!, $numOfLinear: Int!) {'), (18, '    metrics: getMultipleLinearIntValues(metric: {'), (19, '      name: \\""{metricsName}\\""'), (20, '      id: $id'), (21, '    }, duration: $duration, numOfLinear: $numOfLinear) {'), (22, '      values {'), (23, '        value'), (24, '      }'), (25, '    }'), (26, '  }"",'), (27, '  ""variables"": {'), (28, '    ""duration"": {'), (29, '      ""start"": ""{start}"",'), (30, '      ""end"": ""{end}"",'), (31, '      ""step"": ""{step}""'), (32, '    },'), (33, '    ""id"": ""{id}"",'), (34, '    ""numOfLinear"": ""{numOfLinear}""'), (35, '  }'), (36, '}')]}"
